symbol,name,exchange,region,currency,type
SHW,The Sherwin-Williams Company,NYQ,us_market,USD,EQUITY
SPG,"Simon Property Group, Inc.",NYQ,us_market,USD,EQUITY
SWKS,"Skyworks Solutions, Inc.",NMS,us_market,USD,EQUITY
SJM,The J. M. Smucker Company,NYQ,us_market,USD,EQUITY
SW,Smurfit Westrock Plc,NYQ,us_market,USD,EQUITY
SNA,Snap-on Incorporated,NYQ,us_market,USD,EQUITY
SOLV,Solventum Corporation,NYQ,us_market,USD,EQUITY
SO,The Southern Company,NYQ,us_market,USD,EQUITY
LUV,Southwest Airlines Co.,NYQ,us_market,USD,EQUITY
SWK,"Stanley Black & Decker, Inc.",NYQ,us_market,USD,EQUITY
SBUX,Starbucks Corporation,NMS,us_market,USD,EQUITY
STT,State Street Corporation,NYQ,us_market,USD,EQUITY
STLD,"Steel Dynamics, Inc.",NMS,us_market,USD,EQUITY
STE,STERIS plc,NYQ,us_market,USD,EQUITY
SYK,Stryker Corporation,NYQ,us_market,USD,EQUITY
SMCI,"Super Micro Computer, Inc.",NMS,us_market,USD,EQUITY
SYF,Synchrony Financial,NYQ,us_market,USD,EQUITY
SNPS,"Synopsys, Inc.",NMS,us_market,USD,EQUITY
SYY,Sysco Corporation,NYQ,us_market,USD,EQUITY
TMUS,"T-Mobile US, Inc.",NMS,us_market,USD,EQUITY
TROW,"T. Rowe Price Group, Inc.",NMS,us_market,USD,EQUITY
TTWO,"Take-Two Interactive Software, Inc.",NMS,us_market,USD,EQUITY
TPR,"Tapestry, Inc.",NYQ,us_market,USD,EQUITY
TRGP,Targa Resources Corp.,NYQ,us_market,USD,EQUITY
TGT,Target Corporation,NYQ,us_market,USD,EQUITY
TEL,TE Connectivity plc,NYQ,us_market,USD,EQUITY
TDY,Teledyne Technologies Incorporated,NYQ,us_market,USD,EQUITY
TER,"Teradyne, Inc.",NMS,us_market,USD,EQUITY
TSLA,"Tesla, Inc.",NMS,us_market,USD,EQUITY
TXN,Texas Instruments Incorporated,NMS,us_market,USD,EQUITY
TPL,Texas Pacific Land Corporation,NYQ,us_market,USD,EQUITY
TXT,Textron Inc.,NYQ,us_market,USD,EQUITY
TMO,Thermo Fisher Scientific Inc.,NYQ,us_market,USD,EQUITY
TJX,"The TJX Companies, Inc.",NYQ,us_market,USD,EQUITY
TKO,"TKO Group Holdings, Inc.",NYQ,us_market,USD,EQUITY
TSCO,Tractor Supply Company,NMS,us_market,USD,EQUITY
TT,Trane Technologies plc,NYQ,us_market,USD,EQUITY
TDG,TransDigm Group Incorporated,NYQ,us_market,USD,EQUITY
TRV,"The Travelers Companies, Inc.",NYQ,us_market,USD,EQUITY
TRMB,Trimble Inc.,NMS,us_market,USD,EQUITY
TFC,Truist Financial Corporation,NYQ,us_market,USD,EQUITY
TYL,"Tyler Technologies, Inc.",NYQ,us_market,USD,EQUITY
TSN,"Tyson Foods, Inc.",NYQ,us_market,USD,EQUITY
USB,U.S. Bancorp,NYQ,us_market,USD,EQUITY
UBER,"Uber Technologies, Inc.",NYQ,us_market,USD,EQUITY
UDR,"UDR, Inc.",NYQ,us_market,USD,EQUITY
ULTA,"Ulta Beauty, Inc.",NMS,us_market,USD,EQUITY
UNP,Union Pacific Corporation,NYQ,us_market,USD,EQUITY
UAL,"United Airlines Holdings, Inc.",NMS,us_market,USD,EQUITY
UPS,"United Parcel Service, Inc.",NYQ,us_market,USD,EQUITY
URI,"United Rentals, Inc.",NYQ,us_market,USD,EQUITY
UNH,UnitedHealth Group Incorporated,NYQ,us_market,USD,EQUITY
UHS,"Universal Health Services, Inc.",NYQ,us_market,USD,EQUITY
VLO,Valero Energy Corporation,NYQ,us_market,USD,EQUITY
VTR,"Ventas, Inc.",NYQ,us_market,USD,EQUITY
VLTO,Veralto Corporation,NYQ,us_market,USD,EQUITY
VRSN,"VeriSign, Inc.",NMS,us_market,USD,EQUITY
VRSK,"Verisk Analytics, Inc.",NMS,us_market,USD,EQUITY
VZ,Verizon Communications Inc.,NYQ,us_market,USD,EQUITY
VRTX,Vertex Pharmaceuticals Incorporated,NMS,us_market,USD,EQUITY
VTRS,Viatris Inc.,NMS,us_market,USD,EQUITY
VICI,VICI Properties Inc.,NYQ,us_market,USD,EQUITY
V,Visa Inc.,NYQ,us_market,USD,EQUITY
VST,Vistra Corp.,NYQ,us_market,USD,EQUITY
VMC,Vulcan Materials Company,NYQ,us_market,USD,EQUITY
WRB,W. R. Berkley Corporation,NYQ,us_market,USD,EQUITY
GWW,"W.W. Grainger, Inc.",NYQ,us_market,USD,EQUITY
WAB,Westinghouse Air Brake Technologies Corporation,NYQ,us_market,USD,EQUITY
WBA,"Walgreens Boots Alliance, Inc.",NMS,us_market,USD,EQUITY
WMT,Walmart Inc.,NYQ,us_market,USD,EQUITY
DIS,The Walt Disney Company,NYQ,us_market,USD,EQUITY
WBD,"Warner Bros. Discovery, Inc.",NMS,us_market,USD,EQUITY
WM,"Waste Management, Inc.",NYQ,us_market,USD,EQUITY
WAT,Waters Corporation,NYQ,us_market,USD,EQUITY
WEC,"WEC Energy Group, Inc.",NYQ,us_market,USD,EQUITY
WFC,Wells Fargo & Company,NYQ,us_market,USD,EQUITY
WELL,Welltower Inc.,NYQ,us_market,USD,EQUITY
WST,"West Pharmaceutical Services, Inc.",NYQ,us_market,USD,EQUITY
WDC,Western Digital Corporation,NMS,us_market,USD,EQUITY
WY,Weyerhaeuser Company,NYQ,us_market,USD,EQUITY
WSM,"Williams-Sonoma, Inc.",NYQ,us_market,USD,EQUITY
WMB,"The Williams Companies, Inc.",NYQ,us_market,USD,EQUITY
WTW,Willis Towers Watson Public Limited Company,NMS,us_market,USD,EQUITY
WDAY,"Workday, Inc.",NMS,us_market,USD,EQUITY
WYNN,"Wynn Resorts, Limited",NMS,us_market,USD,EQUITY
XEL,Xcel Energy Inc.,NMS,us_market,USD,EQUITY
XYL,Xylem Inc.,NYQ,us_market,USD,EQUITY
YUM,"Yum! Brands, Inc.",NYQ,us_market,USD,EQUITY
ZBRA,Zebra Technologies Corporation,NMS,us_market,USD,EQUITY
ZBH,"Zimmer Biomet Holdings, Inc.",NYQ,us_market,USD,EQUITY
ZTS,Zoetis Inc.,NYQ,us_market,USD,EQUITY
