symbol,name,exchange,region,currency,type
CNP,"CenterPoint Energy, Inc.",NYQ,us_market,USD,EQUITY
CF,"CF Industries Holdings, Inc.",NYQ,us_market,USD,EQUITY
CRL,"Charles River Laboratories International, Inc.",NYQ,us_market,USD,EQUITY
SCHW,The Charles Schwab Corporation,NYQ,us_market,USD,EQUITY
CHTR,"Charter Communications, Inc.",NMS,us_market,USD,EQUITY
CVX,Chevron Corporation,NYQ,us_market,USD,EQUITY
CMG,"Chipotle Mexican Grill, Inc.",NYQ,us_market,USD,EQUITY
CB,Chubb Limited,NYQ,us_market,USD,EQUITY
CHD,"Church & Dwight Co., Inc.",NYQ,us_market,USD,EQUITY
CI,The Cigna Group,NYQ,us_market,USD,EQUITY
CINF,Cincinnati Financial Corporation,NMS,us_market,USD,EQUITY
CTAS,Cintas Corporation,NMS,us_market,USD,EQUITY
CSCO,"Cisco Systems, Inc.",NMS,us_market,USD,EQUITY
C,Citigroup Inc.,NYQ,us_market,USD,EQUITY
CFG,"Citizens Financial Group, Inc.",NYQ,us_market,USD,EQUITY
CLX,The Clorox Company,NYQ,us_market,USD,EQUITY
CME,CME Group Inc.,NMS,us_market,USD,EQUITY
CMS,CMS Energy Corporation,NYQ,us_market,USD,EQUITY
KO,The Coca-Cola Company,NYQ,us_market,USD,EQUITY
CTSH,Cognizant Technology Solutions Corporation,NMS,us_market,USD,EQUITY
CL,Colgate-Palmolive Company,NYQ,us_market,USD,EQUITY
CMCSA,Comcast Corporation,NMS,us_market,USD,EQUITY
CAG,"Conagra Brands, Inc.",NYQ,us_market,USD,EQUITY
COP,ConocoPhillips,NYQ,us_market,USD,EQUITY
ED,"Consolidated Edison, Inc.",NYQ,us_market,USD,EQUITY
STZ,"Constellation Brands, Inc.",NYQ,us_market,USD,EQUITY
CEG,Constellation Energy Corporation,NMS,us_market,USD,EQUITY
COO,"The Cooper Companies, Inc.",NMS,us_market,USD,EQUITY
CPRT,"Copart, Inc.",NMS,us_market,USD,EQUITY
GLW,Corning Incorporated,NYQ,us_market,USD,EQUITY
CPAY,"Corpay, Inc.",NYQ,us_market,USD,EQUITY
CTVA,"Corteva, Inc.",NYQ,us_market,USD,EQUITY
CSGP,"CoStar Group, Inc.",NMS,us_market,USD,EQUITY
COST,Costco Wholesale Corporation,NMS,us_market,USD,EQUITY
CTRA,Coterra Energy Inc.,NYQ,us_market,USD,EQUITY
CRWD,"CrowdStrike Holdings, Inc.",NMS,us_market,USD,EQUITY
CCI,Crown Castle Inc.,NYQ,us_market,USD,EQUITY
CSX,CSX Corporation,NMS,us_market,USD,EQUITY
CMI,Cummins Inc.,NYQ,us_market,USD,EQUITY
CVS,CVS Health Corporation,NYQ,us_market,USD,EQUITY
DHR,Danaher Corporation,NYQ,us_market,USD,EQUITY
DRI,"Darden Restaurants, Inc.",NYQ,us_market,USD,EQUITY
DVA,DaVita Inc.,NYQ,us_market,USD,EQUITY
DAY,Dayforce Inc,NYQ,us_market,USD,EQUITY
DECK,Deckers Outdoor Corporation,NYQ,us_market,USD,EQUITY
DE,Deere & Company,NYQ,us_market,USD,EQUITY
DELL,Dell Technologies Inc.,NYQ,us_market,USD,EQUITY
DAL,"Delta Air Lines, Inc.",NYQ,us_market,USD,EQUITY
DVN,Devon Energy Corporation,NYQ,us_market,USD,EQUITY
DXCM,"DexCom, Inc.",NMS,us_market,USD,EQUITY
FANG,"Diamondback Energy, Inc.",NMS,us_market,USD,EQUITY
DLR,"Digital Realty Trust, Inc.",NYQ,us_market,USD,EQUITY
DFS,Discover Financial Services,NYQ,us_market,USD,EQUITY
DG,Dollar General Corporation,NYQ,us_market,USD,EQUITY
DLTR,"Dollar Tree, Inc.",NMS,us_market,USD,EQUITY
D,"Dominion Energy, Inc.",NYQ,us_market,USD,EQUITY
DPZ,"Domino's Pizza, Inc.",NMS,us_market,USD,EQUITY
DASH,"DoorDash, Inc.",NMS,us_market,USD,EQUITY
DOV,Dover Corporation,NYQ,us_market,USD,EQUITY
DOW,Dow Inc.,NYQ,us_market,USD,EQUITY
DHI,"D.R. Horton, Inc.",NYQ,us_market,USD,EQUITY
DTE,DTE Energy Company,NYQ,us_market,USD,EQUITY
DUK,Duke Energy Corporation,NYQ,us_market,USD,EQUITY
DD,"DuPont de Nemours, Inc.",NYQ,us_market,USD,EQUITY
EMN,Eastman Chemical Company,NYQ,us_market,USD,EQUITY
ETN,Eaton Corporation plc,NYQ,us_market,USD,EQUITY
EBAY,eBay Inc.,NMS,us_market,USD,EQUITY
ECL,Ecolab Inc.,NYQ,us_market,USD,EQUITY
EIX,Edison International,NYQ,us_market,USD,EQUITY
EW,Edwards Lifesciences Corporation,NYQ,us_market,USD,EQUITY
EA,Electronic Arts Inc.,NMS,us_market,USD,EQUITY
ELV,"Elevance Health, Inc.",NYQ,us_market,USD,EQUITY
EMR,Emerson Electric Co.,NYQ,us_market,USD,EQUITY
ENPH,"Enphase Energy, Inc.",NGM,us_market,USD,EQUITY
